"Conta";"Data_Mov";"Nr_Doc";"Historico";"Valor";"Deb_Cred"
"3363006000000010";"20220225";"644978";"RESGATE";"16826557.41";"C"
"3363006000000010";"20220225";"000001";"CRED TED";"5000000.00";"C"
"3363006000000010";"20220225";"252344";"CRED PIX";"5000000.00";"C"
"3363006000000010";"20220225";"000000";"DEB.AUTOR.";"26091036.75";"D"
"3363006000000010";"20220225";"103881";"ENVIO TED";"34201.88";"D"
"3363006000000010";"20220225";"133063";"DB ACC ARR";"192219.22";"D"
"3363006000000010";"20220225";"133063";"DB ACC ARR";"509099.56";"D"
"3363006000000010";"20220302";"592363";"RESGATE";"1277324.01";"C"
"3363006000000010";"20220302";"133063";"PREFEITURA";"691.60";"C"
"3363006000000010";"20220302";"022344";"CRED PIX";"258000.00";"C"
"3363006000000010";"20220302";"022344";"CRED PIX";"316000.00";"C"
"3363006000000010";"20220302";"006699";"TEV MESM T";"31852.63";"D"
"3363006000000010";"20220302";"006700";"TEV MESM T";"4258.97";"D"
"3363006000000010";"20220302";"006703";"TEV MESM T";"16543.16";"D"
"3363006000000010";"20220302";"006704";"TEV MESM T";"44921.25";"D"
"3363006000000010";"20220302";"133063";"DB ACC ARR";"1342783.65";"D"
"3363006000000010";"20220302";"133063";"DB ACC ARR";"410964.35";"D"
"3363006000000010";"20220302";"990001";"APL AUTOM";"691.60";"D"
"3363006000000010";"20220303";"254801";"RESGATE";"32915.33";"C"
"3363006000000010";"20220303";"032344";"CRED PIX";"5000000.00";"C"
"3363006000000010";"20220303";"031537";"TEV MESM T";"19.27";"D"
"3363006000000010";"20220303";"133063";"DB ACC ARR";"2661026.09";"D"
"3363006000000010";"20220303";"133063";"DB ACC ARR";"2371869.97";"D"
"3363006000000010";"20220304";"556435";"RESGATE";"4113335.93";"C"
"3363006000000010";"20220304";"133063";"PREFEITURA";"7375.37";"C"
"3363006000000010";"20220304";"910824";"PAG BOLETO";"7860.51";"D"
"3363006000000010";"20220304";"910856";"PAG BOLETO";"210.00";"D"
"3363006000000010";"20220304";"910857";"PAG BOLETO";"180.00";"D"
"3363006000000010";"20220304";"910858";"PAG BOLETO";"180.00";"D"
"3363006000000010";"20220304";"041536";"TEV MESM T";"24871.42";"D"
"3363006000000010";"20220304";"133063";"DB ACC ARR";"3508775.19";"D"
"3363006000000010";"20220304";"133063";"DB ACC ARR";"578634.18";"D"
"3363006000000010";"20220307";"592323";"RESGATE";"275464.45";"C"
"3363006000000010";"20220307";"071516";"ENVIO TEV";"3000.00";"D"
"3363006000000010";"20220307";"133063";"DB ACC ARR";"222090.01";"D"
"3363006000000010";"20220307";"133063";"DB ACC ARR";"50374.44";"D"
"3363006000000010";"20220308";"388442";"APLICACAO";"6909175.75";"D"
"3363006000000010";"20220308";"133063";"PREFEITURA";"540787.20";"C"
"3363006000000010";"20220308";"133063";"PREFEITURA";"10884.95";"C"
"3363006000000010";"20220308";"082343";"CRED PIX";"5000000.00";"C"
"3363006000000010";"20220308";"082343";"CRED PIX";"5000000.00";"C"
"3363006000000010";"20220308";"004353";"TEV MESM T";"35909.91";"D"
"3363006000000010";"20220308";"004355";"TEV MESM T";"69504.33";"D"
"3363006000000010";"20220308";"004357";"TEV MESM T";"10944.15";"D"
"3363006000000010";"20220308";"133063";"DB ACC ARR";"47130.59";"D"
"3363006000000010";"20220308";"133063";"DB ACC ARR";"3479007.42";"D"
"3363006000000010";"20220309";"588402";"RESGATE";"2344345.68";"C"
"3363006000000010";"20220309";"133063";"PREFEITURA";"10884.95";"C"
"3363006000000010";"20220309";"000006";"CRED.AUTOR";"79.10";"C"
"3363006000000010";"20220309";"133063";"DB ACC ARR";"629446.97";"D"
"3363006000000010";"20220309";"133063";"DB ACC ARR";"1725862.76";"D"
"3363006000000010";"20220310";"453534";"RESGATE";"990656.37";"C"
"3363006000000010";"20220310";"117065";"ENVIO TED";"5246.51";"D"
"3363006000000010";"20220310";"101536";"ENVIO TEV";"1000.00";"D"
"3363006000000010";"20220310";"133063";"DB ACC ARR";"152219.99";"D"
"3363006000000010";"20220310";"133063";"DB ACC ARR";"832189.87";"D"
"3363006000000010";"20220311";"464017";"RESGATE";"1260111.55";"C"
"3363006000000010";"20220311";"110900";"CRED TEV";"1987.24";"C"
"3363006000000010";"20220311";"002112";"TEV MESM T";"61775.37";"D"
"3363006000000010";"20220311";"002118";"TEV MESM T";"350397.24";"D"
"3363006000000010";"20220311";"133063";"DB ACC ARR";"257237.20";"D"
"3363006000000010";"20220311";"133063";"DB ACC ARR";"592688.98";"D"
"3363006000000010";"20220314";"480235";"RESGATE";"82418.98";"C"
"3363006000000010";"20220314";"133063";"DB ACC ARR";"1650.00";"D"
"3363006000000010";"20220314";"133063";"DB ACC ARR";"80768.98";"D"
"3363006000000010";"20220315";"589777";"RESGATE";"1370662.24";"C"
"3363006000000010";"20220315";"133063";"PREFEITURA";"19929.00";"C"
"3363006000000010";"20220315";"133063";"PREFEITURA";"174083.00";"C"
"3363006000000010";"20220315";"000009";"CRED.AUTOR";"351.60";"C"
"3363006000000010";"20220315";"000010";"CRED.AUTOR";"4.80";"C"
"3363006000000010";"20220315";"005030";"TEV MESM T";"24296.82";"D"
"3363006000000010";"20220315";"005031";"TEV MESM T";"26725.25";"D"
"3363006000000010";"20220315";"133063";"DB ACC ARR";"1356639.80";"D"
"3363006000000010";"20220315";"133063";"DB ACC ARR";"157368.77";"D"
"3363006000000010";"20220316";"477149";"RESGATE";"1835430.83";"C"
"3363006000000010";"20220316";"133063";"PREFEITURA";"837.00";"C"
"3363006000000010";"20220316";"133063";"PREFEITURA";"200.00";"C"
"3363006000000010";"20220316";"133063";"PREFEITURA";"1314.00";"C"
"3363006000000010";"20220316";"133063";"PREFEITURA";"3033.00";"C"
"3363006000000010";"20220316";"000965";"DEB.AUTOR.";"3000.00";"D"
"3363006000000010";"20220316";"133063";"DB ACC ARR";"344339.94";"D"
"3363006000000010";"20220316";"133063";"DB ACC ARR";"1493474.89";"D"
"3363006000000010";"20220317";"475378";"RESGATE";"549167.56";"C"
"3363006000000010";"20220317";"003863";"TEV MESM T";"282.03";"D"
"3363006000000010";"20220317";"003864";"TEV MESM T";"9919.40";"D"
"3363006000000010";"20220317";"171636";"TEV MESM T";"99063.59";"D"
"3363006000000010";"20220317";"133063";"DB ACC ARR";"241657.78";"D"
"3363006000000010";"20220317";"133063";"DB ACC ARR";"198244.76";"D"
"3363006000000010";"20220318";"271242";"RESGATE";"616348.65";"C"
"3363006000000010";"20220318";"133063";"PREFEITURA";"2832.83";"C"
"3363006000000010";"20220318";"133063";"PREFEITURA";"415.43";"C"
"3363006000000010";"20220318";"180923";"ENVIO TEV";"1126.93";"D"
"3363006000000010";"20220318";"181459";"ENVIO TEV";"2000.00";"D"
"3363006000000010";"20220318";"133063";"DB ACC ARR";"214394.48";"D"
"3363006000000010";"20220318";"133063";"DB ACC ARR";"398827.24";"D"
"3363006000000010";"20220318";"990001";"APL AUTOM";"3248.26";"D"
"3363006000000010";"20220321";"321166";"APLICACAO";"502761.00";"D"
"3363006000000010";"20220321";"212344";"CRED PIX";"5000000.00";"C"
"3363006000000010";"20220321";"134069";"ENVIO TED";"1148051.03";"D"
"3363006000000010";"20220321";"211453";"ENVIO TEV";"7926.57";"D"
"3363006000000010";"20220321";"133063";"DB ACC ARR";"218847.65";"D"
"3363006000000010";"20220321";"133063";"DB ACC ARR";"3122413.75";"D"
"3363006000000010";"20220322";"279656";"RESGATE";"348940.38";"C"
"3363006000000010";"20220322";"221602";"ENVIO TEV";"1000.00";"D"
"3363006000000010";"20220322";"133063";"DB ACC ARR";"150911.65";"D"
"3363006000000010";"20220322";"133063";"DB ACC ARR";"197028.73";"D"
"3363006000000010";"20220323";"368491";"RESGATE";"500736.16";"C"
"3363006000000010";"20220323";"133063";"PREFEITURA";"38.37";"C"
"3363006000000010";"20220323";"133063";"PREFEITURA";"2458.52";"C"
"3363006000000010";"20220323";"003104";"TEV MESM T";"61002.24";"D"
"3363006000000010";"20220323";"003106";"TEV MESM T";"15452.00";"D"
"3363006000000010";"20220323";"003108";"TEV MESM T";"17641.10";"D"
"3363006000000010";"20220323";"003112";"TEV MESM T";"18153.47";"D"
"3363006000000010";"20220323";"003114";"TEV MESM T";"106693.56";"D"
"3363006000000010";"20220323";"003117";"TEV MESM T";"17.03";"D"
"3363006000000010";"20220323";"003120";"TEV MESM T";"3051.51";"D"
"3363006000000010";"20220323";"133063";"DB ACC ARR";"65882.56";"D"
"3363006000000010";"20220323";"133063";"DB ACC ARR";"215339.58";"D"
"3363006000000010";"20220324";"496223";"APLICACAO";"4737508.38";"D"
"3363006000000010";"20220324";"000005";"CRED.AUTOR";"531.48";"C"
"3363006000000010";"20220324";"242344";"CRED PIX";"5000000.00";"C"
"3363006000000010";"20220324";"241104";"TEV MESM T";"12182.35";"D"
"3363006000000010";"20220324";"133063";"DB ACC ARR";"81609.30";"D"
"3363006000000010";"20220324";"133063";"DB ACC ARR";"169231.45";"D"
"3363006000000010";"20220325";"455703";"RESGATE";"1146914.28";"C"
"3363006000000010";"20220325";"000085";"CRED TED";"55000.00";"C"
"3363006000000010";"20220325";"133063";"";"1180182.64";"D"
"3363006000000010";"20220325";"133063";"";"21731.64";"D"
